Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,1,21,3,2078,22,22,3,RT,C1,Treat(Cont)Post,222.695,77.305,300,0.742,0.258,38,38,0,1.801,2.034342,-11.501,-0.129507
1,1,1,21,3,2079,23,23,1,RT,C1,Treat(Cont)Pre,225.037,74.964,300.001,0.75,0.25,35,34,0,1.18,2.204824,NA,NA
1,1,1,21,3,2080,23,23,2,RT,C1,Treat(Cont)Stim,259.553,40.447,300,0.865177,0.134823,16,15,0,11.261,2.696467,-34.517,-0.460448
1,1,1,21,3,2081,23,23,3,RT,C1,Treat(Cont)Post,249.818,50.182,300,0.833,0.167,22,21,0,46.3,2.389619,-24.782,-0.330585
1,1,1,21,3,2082,24,24,1,RT,C1,Treat(Cont)Pre,284.638,15.363,300.001,0.949,0.051,7,6,0,42.822,2.5605,NA,NA
1,1,1,21,3,2083,24,24,2,RT,C1,Treat(Cont)Stim,289.999,10.001,300,0.966663,0.033337,4,3,0,96.86,3.333667,-5.362,-0.34902
1,1,1,21,3,2084,24,24,3,RT,C1,Treat(Cont)Post,280.54,19.46,300,0.935,0.065,7,7,0,23.302,2.78,4.097,0.26668
1,1,1,21,3,2085,25,25,1,RT,C1,Treat(Cont)Pre,232.343,67.658,300.001,0.774,0.226,33,32,0,3.484,2.114313,NA,NA
1,1,1,21,3,2086,25,25,2,RT,C1,Treat(Cont)Stim,231.897,68.103,300,0.77299,0.22701,28,27,0,13.339,2.522333,0.445,0.006577
1,1,1,21,3,2087,25,25,3,RT,C1,Treat(Cont)Post,241.455,58.545,300,0.805,0.195,27,26,0,3.001,2.251731,-9.113,-0.134692
1,1,1,21,3,2088,26,26,1,RT,C1,Treat(Cont)Pre,235.851,64.15,300.001,0.786,0.214,37,36,0,0.731,1.781944,NA,NA
1,1,1,21,3,2089,26,26,2,RT,C1,Treat(Cont)Stim,255.679,44.321,300,0.852263,0.147737,24,23,0,8.201,1.927,-19.829,-0.309104
1,1,1,21,3,2090,26,26,3,RT,C1,Treat(Cont)Post,247.686,52.314,300,0.826,0.174,32,31,0,66.681,1.687548,-11.836,-0.184505
1,1,1,21,3,2091,27,27,1,RT,C1,Treat(Cont)Pre,237.903,62.098,300.001,0.793,0.207,23,22,0,22.581,2.822636,NA,NA
1,1,1,21,3,2092,27,27,2,RT,C1,Treat(Cont)Stim,230.071,69.929,300,0.766903,0.233097,25,24,0,25.841,2.913708,7.831,0.126107
1,1,1,21,3,2093,27,27,3,RT,C1,Treat(Cont)Post,236.489,63.511,300,0.788,0.212,23,22,0,2.74,2.886864,1.413,0.022754
1,1,1,21,3,2094,28,28,1,RT,C1,Treat(Cont)Pre,250.95,49.051,300.001,0.836,0.164,22,21,0,85.66,2.335762,NA,NA
1,1,1,21,3,2095,28,28,2,RT,C1,Treat(Cont)Stim,275.277,24.723,300,0.91759,0.08241,12,11,0,53.48,2.247545,-24.328,-0.495974
1,1,1,21,3,2096,28,28,3,RT,C1,Treat(Cont)Post,270.793,29.207,300,0.903,0.097,12,11,0,80.501,2.655182,-19.844,-0.404559
1,1,1,21,3,2097,29,29,1,RT,C1,Treat(Cont)Pre,218.116,81.885,300.001,0.727,0.273,34,33,0,18.339,2.481364,NA,NA
1,1,1,21,3,2098,29,29,2,RT,C1,Treat(Cont)Stim,243.94,56.06,300,0.813133,0.186867,24,24,4.84,0,2.335833,-25.825,-0.315381
1,1,1,21,3,2099,29,29,3,RT,C1,Treat(Cont)Post,227.225,72.775,300,0.757,0.243,34,34,1.341,0,2.140441,-9.11,-0.111254
1,1,1,21,3,2100,30,30,1,RT,C1,Treat(Cont)Pre,291.293,8.708,300.001,0.971,0.029,5,4,0,167.861,2.177,NA,NA
1,1,1,21,3,2101,30,30,2,RT,C1,Treat(Cont)Stim,292.05,7.95,300,0.9735,0.0265,4,3,0,76.081,2.65,-0.758,-0.087046
1,1,1,21,3,2102,30,30,3,RT,C1,Treat(Cont)Post,284.516,15.484,300,0.948,0.052,8,8,0,69.382,1.9355,6.776,0.778135
1,1,0,21,1,2330,70,1,1,RT,BFT,Treat(Fresh)Pre,231.901,68.099,300,0.773,0.227,41,41,0.668,0,1.660951,NA,NA
1,1,0,21,1,2331,70,1,2,RT,BFT,Treat(Fresh)Stim,280.743,19.257,300,0.93581,0.06419,13,12,0,25.564,1.60475,-48.842,-0.717221
1,1,0,21,1,2332,70,1,3,RT,BFT,Treat(Fresh)Post,295.66,4.34,300,0.986,0.014,2,1,0,136.36,4.34,-63.759,-0.936269
1,1,0,21,1,2333,71,2,1,RT,BFT,Treat(Fresh)Pre,227.392,72.608,300,0.758,0.242,40,39,0,10.001,1.861744,NA,NA
1,1,0,21,1,2334,71,2,2,RT,BFT,Treat(Fresh)Stim,268.773,31.227,300,0.89591,0.10409,16,15,0,52.241,2.0818,-41.381,-0.569923
1,1,0,21,1,2335,71,2,3,RT,BFT,Treat(Fresh)Post,295.9,4.1,300,0.986,0.014,2,1,0,89.801,4.1,-68.508,-0.943532
1,1,0,21,1,2336,72,3,1,RT,BFT,Treat(Fresh)Pre,270.309,29.691,300,0.901,0.099,17,16,0,28.94,1.855687,NA,NA
1,1,0,21,1,2337,72,3,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,0,-29.691,-1
