Filter_1,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,21,1,295,79,5,1,BB,BFT,Treat(Fresh)Pre,247.001,52.999,300,0.823,0.177,7,6,0,17.781,8.833167,,
1,21,1,296,79,5,2,BB,BFT,Treat(Fresh)Stim,240.927,59.073,300,0.80309,0.19691,10,9,0,28.9,6.563667,6.074,0.114606
1,21,1,297,79,5,3,BB,BFT,Treat(Fresh)Post,250.603,49.397,300,0.835,0.165,8,7,0,19.641,7.056714,-3.602,-0.067964
1,21,1,298,80,6,1,BB,BFT,Treat(Fresh)Pre,265.14,34.86,300,0.884,0.116,10,9,0,21.681,3.873333,,
1,21,1,299,80,6,2,BB,BFT,Treat(Fresh)Stim,266.972,33.028,300,0.889907,0.110093,7,6,0,98.681,5.504667,-1.832,-0.052553
1,21,1,300,80,6,3,BB,BFT,Treat(Fresh)Post,249.558,50.442,300,0.832,0.168,9,8,0,37.821,6.30525,15.582,0.446988
1,21,1,301,81,7,1,BB,BFT,Treat(Fresh)Pre,229.743,70.257,300,0.766,0.234,13,12,0,36.2,5.85475,,
1,21,1,302,81,7,2,BB,BFT,Treat(Fresh)Stim,243.205,56.795,300,0.810683,0.189317,12,11,0,6.18,5.163182,-13.462,-0.191611
1,21,1,303,81,7,3,BB,BFT,Treat(Fresh)Post,275.696,24.304,300,0.919,0.081,7,6,0,33.401,4.050667,-45.953,-0.65407
1,21,1,304,82,8,1,BB,BFT,Treat(Fresh)Pre,249.791,50.209,300,0.833,0.167,7,6,0,3.04,8.368167,,
1,21,1,305,82,8,2,BB,BFT,Treat(Fresh)Stim,287.199,12.801,300,0.95733,0.04267,9,9,3.04,0,1.422333,-37.408,-0.745046
1,21,1,306,82,8,3,BB,BFT,Treat(Fresh)Post,286.043,13.957,300,0.953,0.047,6,5,0,17.639,2.7914,-36.252,-0.722022
1,21,1,307,83,9,1,BB,BFT,Treat(Fresh)Pre,255.407,44.593,300,0.851,0.149,21,20,0,0.86,2.22965,,
1,21,1,308,83,9,2,BB,BFT,Treat(Fresh)Stim,274.789,25.211,300,0.915963,0.084037,14,13,0,104.68,1.939308,-19.382,-0.434642
1,21,1,309,83,9,3,BB,BFT,Treat(Fresh)Post,234.902,65.098,300,0.783,0.217,22,21,0,8.201,3.099905,20.505,0.459826
1,21,1,310,84,10,1,BB,BFT,Treat(Fresh)Pre,231.974,68.026,300,0.773,0.227,10,9,0,9.18,7.558444,,
1,21,1,311,84,10,2,BB,BFT,Treat(Fresh)Stim,297.444,2.556,300,0.99148,0.00852,3,2,0,271.52,1.278,-65.47,-0.962426
1,21,1,312,84,10,3,BB,BFT,Treat(Fresh)Post,251.598,48.402,300,0.839,0.161,2,1,0,43.939,48.402,-19.624,-0.288478
1,21,2,313,85,11,1,BB,BFT,Treat(Fresh)Pre,260.325,39.675,300,0.868,0.132,10,10,5.859,0,3.9675,,
1,21,2,314,85,11,2,BB,BFT,Treat(Fresh)Stim,243.418,56.582,300,0.811393,0.188607,19,18,0,18.246,3.143444,16.907,0.426137
1,21,2,315,85,11,3,BB,BFT,Treat(Fresh)Post,255.939,44.061,300,0.853,0.147,10,9,0,15.133,4.895667,4.386,0.110548
1,21,2,316,86,12,1,BB,BFT,Treat(Fresh)Pre,274.123,25.877,300,0.914,0.086,8,7,0,54.321,3.696714,,
1,21,2,317,86,12,2,BB,BFT,Treat(Fresh)Stim,289.915,10.085,300,0.966383,0.033617,3,3,2.545,0,3.361667,-15.792,-0.610272
1,21,2,318,86,12,3,BB,BFT,Treat(Fresh)Post,287.961,12.039,300,0.96,0.04,4,3,0,44.041,4.013,-13.838,-0.534761
1,21,2,319,87,13,1,BB,BFT,Treat(Fresh)Pre,224.964,75.036,300,0.75,0.25,7,6,0,20.422,12.506,,
1,21,2,320,87,13,2,BB,BFT,Treat(Fresh)Stim,220.33,79.67,300,0.734433,0.265567,9,8,0,37.724,9.95875,4.634,0.061757
1,21,2,321,87,13,3,BB,BFT,Treat(Fresh)Post,202.818,97.182,300,0.676,0.324,14,15,1.721,0,6.4788,22.146,0.295138
1,21,2,322,88,14,1,BB,BFT,Treat(Fresh)Pre,197.316,102.684,300,0.658,0.342,15,14,0,2.381,7.334571,,
1,21,2,323,88,14,2,BB,BFT,Treat(Fresh)Stim,188.986,111.014,300,0.629953,0.370047,14,15,5.28,0,7.400933,8.33,0.081123
1,21,2,324,88,14,3,BB,BFT,Treat(Fresh)Post,225.583,74.417,300,0.752,0.248,10,10,1.421,0,7.4417,-28.267,-0.275281
1,21,2,325,89,15,1,BB,BFT,Treat(Fresh)Pre,222.282,77.718,300,0.741,0.259,16,16,2.182,0,4.857375,,
1,21,2,326,89,15,2,BB,BFT,Treat(Fresh)Stim,252.356,47.644,300,0.841187,0.158813,14,13,0,45.766,3.664923,-30.074,-0.386963
1,21,2,327,89,15,3,BB,BFT,Treat(Fresh)Post,233.676,66.324,300,0.779,0.221,17,16,0,14.88,4.14525,-11.394,-0.146607
1,21,2,328,90,16,1,BB,BFT,Treat(Fresh)Pre,236.231,63.769,300,0.787,0.213,17,18,5.241,0,3.542722,,
1,21,2,329,90,16,2,BB,BFT,Treat(Fresh)Stim,294.577,5.423,300,0.981923,0.018077,5,4,0,176.081,1.35575,-58.346,-0.914959
1,21,2,330,90,16,3,BB,BFT,Treat(Fresh)Post,253.816,46.184,300,0.846,0.154,18,17,0,7.199,2.716706,-17.585,-0.275761
1,21,2,331,91,17,1,BB,BFT,Treat(Fresh)Pre,241.551,58.449,300,0.805,0.195,11,10,0,6.82,5.8449,,
1,21,2,332,91,17,2,BB,BFT,Treat(Fresh)Stim,265.243,34.757,300,0.884143,0.115857,11,10,0,53.882,3.4757,-23.692,-0.405345
1,21,2,333,91,17,3,BB,BFT,Treat(Fresh)Post,264.083,35.917,300,0.88,0.12,10,9,0,52.443,3.990778,-22.532,-0.385498
